Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
C,Nikola Jokic (26802940),Nikola Jokic,26802940,C/UTIL,11800,LAC@DEN 02/26/2023 10:00PM ET,DEN,59.03
PG,Damian Lillard (26802894),Damian Lillard,26802894,PG/G/UTIL,11400,HOU@POR 02/26/2023 09:00PM ET,POR,50.91
SF/PF,Kawhi Leonard (26802907),Kawhi Leonard,26802907,SF/PF/F/UTIL,9300,LAC@DEN 02/26/2023 10:00PM ET,LAC,40.65
SG/SF,Paul George (26802900),Paul George,26802900,SG/SF/F/G/UTIL,8300,LAC@DEN 02/26/2023 10:00PM ET,LAC,42.82
PG,Jamal Murray (26802961),Jamal Murray,26802961,PG/G/UTIL,8200,LAC@DEN 02/26/2023 10:00PM ET,DEN,36.33
C,Alperen Sengun (26803068),Alperen Sengun,26803068,C/UTIL,7800,HOU@POR 02/26/2023 09:00PM ET,HOU,34.54
PG,Kevin Porter Jr. (26803006),Kevin Porter Jr.,26803006,PG/G/UTIL,7600,HOU@POR 02/26/2023 09:00PM ET,HOU,37.41
PF,Aaron Gordon (26802935),Aaron Gordon,26802935,PF/F/UTIL,7500,LAC@DEN 02/26/2023 10:00PM ET,DEN,33.40
PG/SG,Anfernee Simons (26802997),Anfernee Simons,26802997,PG/SG/G/UTIL,7200,HOU@POR 02/26/2023 09:00PM ET,POR,33.56
PG,Russell Westbrook (26802873),Russell Westbrook,26802873,PG/G/UTIL,7100,LAC@DEN 02/26/2023 10:00PM ET,LAC,37.52
PF,Jerami Grant (26802932),Jerami Grant,26802932,PF/F/UTIL,7000,HOU@POR 02/26/2023 09:00PM ET,POR,33.14
PG/SG,Jalen Green (26803059),Jalen Green,26803059,PG/SG/G/UTIL,6500,HOU@POR 02/26/2023 09:00PM ET,HOU,34.04
C,Jusuf Nurkic (26802938),Jusuf Nurkic,26802938,C/UTIL,6300,HOU@POR 02/26/2023 09:00PM ET,POR,33.11
SF,Michael Porter Jr. (26802984),Michael Porter Jr.,26802984,SF/F/UTIL,6000,LAC@DEN 02/26/2023 10:00PM ET,DEN,28.17
PF,Jabari Smith Jr. (26803082),Jabari Smith Jr.,26803082,PF/F/UTIL,5800,HOU@POR 02/26/2023 09:00PM ET,HOU,25.80
SG/SF,Norman Powell (26802924),Norman Powell,26802924,SG/SF/F/G/UTIL,5600,LAC@DEN 02/26/2023 10:00PM ET,LAC,26.06
