Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
1B,Nelson Cruz (26944521),Nelson Cruz,26944521,1B,4500,SD@KC 03/10/2023 03:03PM ET,SD,6.22
SP,Zack Greinke (26944522),Zack Greinke,26944522,P,4500,SD@KC 03/10/2023 03:03PM ET,KC,9.46
SP,Yu Darvish (26944528),Yu Darvish,26944528,P,4500,SD@KC 03/10/2023 03:03PM ET,SD,21.20
RP,Drew Pomeranz (26944529),Drew Pomeranz,26944529,P,4500,SD@KC 03/10/2023 03:03PM ET,SD,0
RP,Luis Garcia (26944532),Luis Garcia,26944532,P,4500,SD@KC 03/10/2023 03:03PM ET,SD,3.12
C,Salvador Perez (26944533),Salvador Perez,26944533,C,4500,SD@KC 03/10/2023 03:03PM ET,KC,7.36
RP,Jordan Lyles (26944537),Jordan Lyles,26944537,P,4500,SD@KC 03/10/2023 03:03PM ET,KC,12.54
1B,Matt Carpenter (26944552),Matt Carpenter,26944552,1B,4500,SD@KC 03/10/2023 03:03PM ET,SD,7.94
RP,Aroldis Chapman (26944562),Aroldis Chapman,26944562,P,4500,SD@KC 03/10/2023 03:03PM ET,KC,2.70
C,Jose Briceno (26944564),Jose Briceno,26944564,C,4500,SD@KC 03/10/2023 03:03PM ET,KC,0
3B,Manny Machado (26944566),Manny Machado,26944566,3B,4500,SD@KC 03/10/2023 03:03PM ET,SD,9.26
2B/3B,Rangel Ravelo (26944570),Rangel Ravelo,26944570,2B/3B,4500,SD@KC 03/10/2023 03:03PM ET,SD,0
SS,Xander Bogaerts (26944576),Xander Bogaerts,26944576,SS,4500,SD@KC 03/10/2023 03:03PM ET,SD,7.88
C,Austin Nola (26944578),Austin Nola,26944578,C,4500,SD@KC 03/10/2023 03:03PM ET,SD,5.06
OF,Preston Tucker (26944581),Preston Tucker,26944581,OF,4500,SD@KC 03/10/2023 03:03PM ET,SD,0
SP,Joe Musgrove (26944585),Joe Musgrove,26944585,P,4500,SD@KC 03/10/2023 03:03PM ET,SD,19.05
SP,Blake Snell (26944588),Blake Snell,26944588,P,4500,SD@KC 03/10/2023 03:03PM ET,SD,19.16
RP,Scott Barlow (26944592),Scott Barlow,26944592,P,4500,SD@KC 03/10/2023 03:03PM ET,KC,3.87
RP,Amir Garrett (26944597),Amir Garrett,26944597,P,4500,SD@KC 03/10/2023 03:03PM ET,KC,2.00
RP,Nick Martinez (26944600),Nick Martinez,26944600,P,4500,SD@KC 03/10/2023 03:03PM ET,SD,5.93
RP,Seth Lugo (26944601),Seth Lugo,26944601,P,4500,SD@KC 03/10/2023 03:03PM ET,SD,3.16
SP,Michael Wacha (26944607),Michael Wacha,26944607,P,4500,SD@KC 03/10/2023 03:03PM ET,SD,15.74
SP,Nabil Crismatt (26944610),Nabil Crismatt,26944610,P,4500,SD@KC 03/10/2023 03:03PM ET,SD,4.18
3B/SS,Tim Lopes (26944618),Tim Lopes,26944618,3B/SS,4500,SD@KC 03/10/2023 03:03PM ET,SD,0
RP,Josh Hader (26944620),Josh Hader,26944620,P,4500,SD@KC 03/10/2023 03:03PM ET,SD,3.52
RP,Jose Cuas (26944622),Jose Cuas,26944622,P,4500,SD@KC 03/10/2023 03:03PM ET,KC,2.07
RP,Eric Hanhold (26944623),Eric Hanhold,26944623,P,4500,SD@KC 03/10/2023 03:03PM ET,SD,0
RP,Steven Wilson (26944624),Steven Wilson,26944624,P,4500,SD@KC 03/10/2023 03:03PM ET,SD,3.31
OF,Adam Engel (26944629),Adam Engel,26944629,OF,4500,SD@KC 03/10/2023 03:03PM ET,SD,3.34
OF,Jose Azocar (26944634),Jose Azocar,26944634,OF,4500,SD@KC 03/10/2023 03:03PM ET,SD,3.07
3B,Hunter Dozier (26944639),Hunter Dozier,26944639,3B,4500,SD@KC 03/10/2023 03:03PM ET,KC,5.90
3B/OF,Brandon Dixon (26944645),Brandon Dixon,26944645,3B/OF,4500,SD@KC 03/10/2023 03:03PM ET,SD,3
