Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
C,Nikola Jokic (26936258),Nikola Jokic,26936258,C/UTIL,11700,DEN@SAS 03/10/2023 08:00PM ET,DEN,58.89
C,Joel Embiid (26936260),Joel Embiid,26936260,C/UTIL,11600,POR@PHI 03/10/2023 07:00PM ET,PHI,57.32
C,Anthony Davis (26936262),Anthony Davis,26936262,C/UTIL,11000,TOR@LAL 03/10/2023 10:30PM ET,LAL,52.35
PG,Damian Lillard (26936264),Damian Lillard,26936264,PG/G/UTIL,10900,POR@PHI 03/10/2023 07:00PM ET,POR,52.35
SF,LeBron James (26936267),LeBron James,26936267,SF/F/UTIL,10400,TOR@LAL 03/10/2023 10:30PM ET,LAL,53.52
PG,James Harden (26936270),James Harden,26936270,PG/G/UTIL,10300,POR@PHI 03/10/2023 07:00PM ET,PHI,50.39
SG/SF,Anthony Edwards (26936273),Anthony Edwards,26936273,SG/SF/F/G/UTIL,9500,BKN@MIN 03/10/2023 08:00PM ET,MIN,43.24
PG,Trae Young (26936278),Trae Young,26936278,PG/G/UTIL,9300,ATL@WAS 03/10/2023 07:00PM ET,ATL,47.98
PF/C,Kristaps Porzingis (26936281),Kristaps Porzingis,26936281,PF/C/F/UTIL,9100,ATL@WAS 03/10/2023 07:00PM ET,WAS,43.02
PG/SG,Donovan Mitchell (26936285),Donovan Mitchell,26936285,PG/SG/G/UTIL,9000,CLE@MIA 03/10/2023 08:00PM ET,CLE,44.10
PF/C,Pascal Siakam (26936289),Pascal Siakam,26936289,PF/C/F/UTIL,8700,TOR@LAL 03/10/2023 10:30PM ET,TOR,45.93
SF,Jimmy Butler (26936293),Jimmy Butler,26936293,SF/F/UTIL,8600,CLE@MIA 03/10/2023 08:00PM ET,MIA,41.55
C,Karl-Anthony Towns (26936296),Karl-Anthony Towns,26936296,C/UTIL,8500,BKN@MIN 03/10/2023 08:00PM ET,MIN,41.71
SG,Bradley Beal (26936298),Bradley Beal,26936298,SG/G/UTIL,8400,ATL@WAS 03/10/2023 07:00PM ET,WAS,38.79
PG,Fred VanVleet (26936301),Fred VanVleet,26936301,PG/G/UTIL,8300,TOR@LAL 03/10/2023 10:30PM ET,TOR,40.29
SG,Mikal Bridges (26936304),Mikal Bridges,26936304,SG/G/UTIL,8200,BKN@MIN 03/10/2023 08:00PM ET,BKN,33.51
PG,Darius Garland (26936307),Darius Garland,26936307,PG/G/UTIL,8100,CLE@MIA 03/10/2023 08:00PM ET,CLE,40.36
C,Bam Adebayo (26936310),Bam Adebayo,26936310,C/UTIL,8000,CLE@MIA 03/10/2023 08:00PM ET,MIA,41.45
PF/C,Evan Mobley (26936312),Evan Mobley,26936312,PF/C/F/UTIL,7900,CLE@MIA 03/10/2023 08:00PM ET,CLE,35.30
SF/PF,Kyle Kuzma (26936316),Kyle Kuzma,26936316,SF/PF/F/UTIL,7800,ATL@WAS 03/10/2023 07:00PM ET,WAS,38.48
PG/SG,Dejounte Murray (26936320),Dejounte Murray,26936320,PG/SG/G/UTIL,7700,ATL@WAS 03/10/2023 07:00PM ET,ATL,40.54
PG,Jamal Murray (26936324),Jamal Murray,26936324,PG/G/UTIL,7600,DEN@SAS 03/10/2023 08:00PM ET,DEN,36.86
PG/SG,Tyrese Maxey (26936327),Tyrese Maxey,26936327,PG/SG/G/UTIL,7500,POR@PHI 03/10/2023 07:00PM ET,PHI,31.37
PG/SG,Tyler Herro (26936331),Tyler Herro,26936331,PG/SG/G/UTIL,7400,CLE@MIA 03/10/2023 08:00PM ET,MIA,36.65
