Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
QB,Ben DiNucci (26905324),Ben DiNucci,26905324,QB,10800,SA@SEA 03/11/2023 10:00PM ET,SEA,24.17
QB,AJ McCarron (26905325),AJ McCarron,26905325,QB,10700,ARL@STL 03/12/2023 04:00PM ET,STL,23.78
WR,Josh Gordon (26905401),Josh Gordon,26905401,WR/TE/FLEX,10600,SA@SEA 03/11/2023 10:00PM ET,SEA,19.83
WR,Jahcour Pearson (26905403),Jahcour Pearson,26905403,WR/TE/FLEX,10300,SA@SEA 03/11/2023 10:00PM ET,SEA,18.4
QB,Brett Hundley (26905326),Brett Hundley,26905326,QB,10000,VGS@DC 03/12/2023 07:00PM ET,VGS,18.44
QB,Brandon Silvers (26905327),Brandon Silvers,26905327,QB,9700,HOU@ORL 03/11/2023 07:00PM ET,HOU,19.04
WR,Jeff Badet (26905405),Jeff Badet,26905405,WR/TE/FLEX,9700,VGS@DC 03/12/2023 07:00PM ET,VGS,16.1
RB,Max Borghi (26905347),Max Borghi,26905347,RB/FLEX,9300,HOU@ORL 03/11/2023 07:00PM ET,HOU,14.23
WR,Deontay Burnett (26905407),Deontay Burnett,26905407,WR/TE/FLEX,9300,HOU@ORL 03/11/2023 07:00PM ET,HOU,11.5
QB,Jordan Ta'amu (26905328),Jordan Ta'amu,26905328,QB,9200,VGS@DC 03/12/2023 07:00PM ET,DC,14.3
WR,Jontre Kirklin (26905409),Jontre Kirklin,26905409,WR/TE/FLEX,8900,HOU@ORL 03/11/2023 07:00PM ET,HOU,18.47
QB,Paxton Lynch (26905329),Paxton Lynch,26905329,QB,8400,HOU@ORL 03/11/2023 07:00PM ET,ORL,11.85
RB,Abram Smith (26905349),Abram Smith,26905349,RB/FLEX,8400,VGS@DC 03/12/2023 07:00PM ET,DC,9.13
WR,Hakeem Butler (26905411),Hakeem Butler,26905411,WR/TE/FLEX,8300,ARL@STL 03/12/2023 04:00PM ET,STL,18.93
QB,Jack Coan (26905330),Jack Coan,26905330,QB,8200,SA@SEA 03/11/2023 10:00PM ET,SA,14.48
RB,Kalen Ballage (26905351),Kalen Ballage,26905351,RB/FLEX,8100,SA@SEA 03/11/2023 10:00PM ET,SA,6.77
WR,Marcell Ateman (26905413),Marcell Ateman,26905413,WR/TE/FLEX,8100,ARL@STL 03/12/2023 04:00PM ET,STL,5.17
QB,Kyle Sloter (26905331),Kyle Sloter,26905331,QB,7900,ARL@STL 03/12/2023 04:00PM ET,ARL,8.76
WR,Geronimo Allison (26905415),Geronimo Allison,26905415,WR/TE/FLEX,7900,VGS@DC 03/12/2023 07:00PM ET,VGS,4.65
TE,Sal Cannella (26905505),Sal Cannella,26905505,WR/TE/FLEX,7800,ARL@STL 03/12/2023 04:00PM ET,ARL,10.03
WR,Martavis Bryant (26905417),Martavis Bryant,26905417,WR/TE/FLEX,7700,VGS@DC 03/12/2023 07:00PM ET,VGS,5.2
WR,Blake Jackson (26905419),Blake Jackson,26905419,WR/TE/FLEX,7500,SA@SEA 03/11/2023 10:00PM ET,SEA,12.03
QB,Luis Perez (26905332),Luis Perez,26905332,QB,7400,VGS@DC 03/12/2023 07:00PM ET,VGS,11.43
WR,Charleston Rambo (26905421),Charleston Rambo,26905421,WR/TE/FLEX,7300,HOU@ORL 03/11/2023 07:00PM ET,ORL,4.5
RB,De'Veon Smith (26905353),De'Veon Smith,26905353,RB/FLEX,7300,ARL@STL 03/12/2023 04:00PM ET,ARL,8.33
RB,Jah-Maine Martin (26905355),Jah-Maine Martin,26905355,RB/FLEX,7200,HOU@ORL 03/11/2023 07:00PM ET,ORL,4.13
RB,Morgan Ellison (26905357),Morgan Ellison,26905357,RB/FLEX,6900,SA@SEA 03/11/2023 10:00PM ET,SEA,8.93
WR,Darrius Shepherd (26905423),Darrius Shepherd,26905423,WR/TE/FLEX,6900,ARL@STL 03/12/2023 04:00PM ET,STL,6
QB,D'Eriq King (26905333),D'Eriq King,26905333,QB,6900,VGS@DC 03/12/2023 07:00PM ET,DC,9.11
QB,Drew Plitt (26905334),Drew Plitt,26905334,QB,6800,ARL@STL 03/12/2023 04:00PM ET,ARL,6.89
QB,Deondre Francois (26905335),Deondre Francois,26905335,QB,6700,HOU@ORL 03/11/2023 07:00PM ET,ORL,4.72
RB,Brian Hill (26905359),Brian Hill,26905359,RB/FLEX,6600,ARL@STL 03/12/2023 04:00PM ET,STL,14.6
WR,Josh Hammond (26905425),Josh Hammond,26905425,WR/TE/FLEX,6600,VGS@DC 03/12/2023 07:00PM ET,DC,4.6
WR,Jordan Smallwood (26905427),Jordan Smallwood,26905427,WR/TE/FLEX,6400,ARL@STL 03/12/2023 04:00PM ET,ARL,2.3
