Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
RW,Matthew Tkachuk (26943942),Matthew Tkachuk,26943942,W/UTIL,8800,CHI@FLA 03/10/2023 07:00PM ET,FLA,16.04
G,Sergei Bobrovsky (26944114),Sergei Bobrovsky,26944114,G,8100,CHI@FLA 03/10/2023 07:00PM ET,FLA,12.69
G,Jacob Markstrom (26944115),Jacob Markstrom,26944115,G,7900,ANH@CGY 03/10/2023 09:00PM ET,CGY,9.74
G,Dan Vladar (26944116),Dan Vladar,26944116,G,7900,ANH@CGY 03/10/2023 09:00PM ET,CGY,9.93
G,Alex Lyon (26944117),Alex Lyon,26944117,G,7900,CHI@FLA 03/10/2023 07:00PM ET,FLA,11.92
G,John Gibson (26944118),John Gibson,26944118,G,7500,ANH@CGY 03/10/2023 09:00PM ET,ANH,14.68
G,Lukas Dostal (26944119),Lukas Dostal,26944119,G,7500,ANH@CGY 03/10/2023 09:00PM ET,ANH,13.84
C,Aleksander Barkov (26943892),Aleksander Barkov,26943892,C/UTIL,7500,CHI@FLA 03/10/2023 07:00PM ET,FLA,13.00
G,Petr Mrazek (26944120),Petr Mrazek,26944120,G,7300,CHI@FLA 03/10/2023 07:00PM ET,CHI,10.87
G,Alex Stalock (26944121),Alex Stalock,26944121,G,7300,CHI@FLA 03/10/2023 07:00PM ET,CHI,14.81
LW,Carter Verhaeghe (26943944),Carter Verhaeghe,26943944,W/UTIL,7200,CHI@FLA 03/10/2023 07:00PM ET,FLA,12.48
D,Seth Jones (26944036),Seth Jones,26944036,D/UTIL,6800,CHI@FLA 03/10/2023 07:00PM ET,CHI,11.34
G,Anthony Stolarz (26944124),Anthony Stolarz,26944124,G,6500,ANH@CGY 03/10/2023 09:00PM ET,ANH,9.61
G,Olle Eriksson Ek (26944125),Olle Eriksson Ek,26944125,G,6500,ANH@CGY 03/10/2023 09:00PM ET,ANH,0
G,Jaxson Stauber (26944122),Jaxson Stauber,26944122,G,6500,CHI@FLA 03/10/2023 07:00PM ET,CHI,15.38
G,Arvid Soderblom (26944123),Arvid Soderblom,26944123,G,6500,CHI@FLA 03/10/2023 07:00PM ET,CHI,9.57
G,Spencer Knight (26944126),Spencer Knight,26944126,G,6500,CHI@FLA 03/10/2023 07:00PM ET,FLA,12.36
