player_id,salary,fpts,PG,SG,SF,PF,C,G,F,Util
0,6600.0,36.46503,0,0,0,1,1,0,1,1
1,4200.0,26.760368,0,0,1,1,0,0,1,1
2,3000.0,4.38538,1,1,0,0,0,1,0,1
3,5000.0,27.175564,0,0,0,0,1,0,0,1
4,3400.0,16.734577,0,1,1,0,0,1,1,1
5,5900.0,3.4382372,0,1,1,0,0,1,1,1
6,3000.0,-0.18490964,1,1,0,0,0,1,0,1
7,3000.0,11.075589,0,0,1,1,0,0,1,1
8,3000.0,6.469783,0,0,0,0,1,0,0,1
9,3000.0,8.459954,0,0,0,0,1,0,0,1
10,5700.0,33.98281,0,0,0,1,1,0,1,1
11,3000.0,2.723007,1,1,0,0,0,1,0,1
12,9700.0,53.04824,0,1,0,0,0,1,0,1
13,5400.0,26.987614,0,0,0,0,1,0,0,1
14,5300.0,4.511323,1,0,1,0,0,1,1,1
15,3000.0,4.2247944,1,1,0,0,0,1,0,1
16,5400.0,31.739548,0,0,0,0,1,0,0,1
17,8100.0,49.793514,1,1,0,0,0,1,0,1
18,3000.0,1.6884186,0,0,0,1,1,0,1,1
19,8800.0,55.447075,1,0,0,0,0,1,0,1
20,3100.0,6.693487,0,0,0,1,1,0,1,1
21,3900.0,22.403994,0,0,0,1,0,0,1,1
22,3100.0,5.1051073,1,0,0,0,0,1,0,1
23,3900.0,16.7142,0,0,1,1,0,0,1,1
24,6500.0,36.989887,0,0,0,0,1,0,0,1
25,4900.0,8.001146,1,1,0,0,0,1,0,1
26,8400.0,46.367416,1,1,0,0,0,1,0,1
27,3000.0,3.565782,1,1,0,0,0,1,0,1
28,3000.0,1.5881665,1,0,1,0,0,1,1,1
29,3000.0,13.594312,0,0,0,1,1,0,1,1
30,3000.0,4.888688,0,1,1,0,0,1,1,1
31,3200.0,10.518579,0,0,0,0,1,0,0,1
32,4000.0,9.680565,0,0,0,0,1,0,0,1
33,6300.0,40.61529,1,0,0,0,0,1,0,1
34,3200.0,14.426795,0,0,0,1,1,0,1,1
35,4400.0,8.9096575,0,0,0,1,1,0,1,1
36,3000.0,4.842949,1,1,0,0,0,1,0,1
37,11300.0,49.8009,0,0,1,1,0,0,1,1
38,4300.0,11.58001,0,0,1,1,0,0,1,1
39,3100.0,4.2896495,0,0,0,1,1,0,1,1
40,3000.0,3.9184914,0,0,0,1,1,0,1,1
41,3000.0,0.8968501,0,0,0,0,1,0,0,1
42,3000.0,0.99253654,1,0,1,0,0,1,1,1
43,4300.0,23.873348,0,0,0,0,1,0,0,1
44,5300.0,19.438892,0,0,1,1,0,0,1,1
45,3200.0,12.133769,0,0,1,1,0,0,1,1
46,3000.0,6.711598,1,1,0,0,0,1,0,1
47,3000.0,2.5235684,0,0,1,1,0,0,1,1
48,4800.0,27.230423,0,0,0,0,1,0,0,1
49,3100.0,13.744759,1,0,0,0,0,1,0,1
50,4600.0,14.92864,0,1,1,0,0,1,1,1
51,6000.0,33.618874,0,0,1,1,0,0,1,1
52,4500.0,24.54412,0,0,0,1,1,0,1,1
53,5800.0,35.539524,1,0,0,0,0,1,0,1
54,5900.0,1.5064497,0,1,1,0,0,1,1,1
55,3000.0,2.1067536,1,1,0,0,0,1,0,1
56,4200.0,22.726187,0,1,1,0,0,1,1,1
57,7200.0,41.673916,0,0,0,1,1,0,1,1
58,3000.0,4.3885193,0,0,0,1,1,0,1,1
59,3600.0,13.55876,0,1,1,0,0,1,1,1
60,4100.0,15.501369,0,0,1,1,0,0,1,1
61,3300.0,17.748304,0,1,1,0,0,1,1,1
62,3000.0,4.5180635,0,0,1,0,0,0,1,1
63,7000.0,43.691612,0,0,0,0,1,0,0,1
64,10400.0,58.72256,0,0,0,0,1,0,0,1
65,3200.0,16.956982,0,0,1,0,0,0,1,1
66,6200.0,37.39934,0,1,1,0,0,1,1,1
67,8300.0,48.804142,1,0,0,0,0,1,0,1
68,5100.0,24.905209,0,1,1,0,0,1,1,1
69,3200.0,16.86441,0,1,1,0,0,1,1,1
70,4000.0,24.2682,0,1,1,0,0,1,1,1
71,6900.0,42.351025,0,1,1,0,0,1,1,1
72,9000.0,42.09257,1,0,0,0,0,1,0,1
73,10800.0,59.728188,0,0,1,1,0,0,1,1
74,5500.0,30.543383,1,1,0,0,0,1,0,1
75,3000.0,3.780979,1,1,0,0,0,1,0,1
76,4400.0,24.909985,0,0,1,1,0,0,1,1
77,5200.0,27.519306,1,1,0,0,0,1,0,1
78,4700.0,27.407288,0,0,1,1,0,0,1,1
79,4200.0,26.735838,0,0,1,1,0,0,1,1
80,3000.0,4.400921,0,0,0,1,1,0,1,1
81,3900.0,14.739421,0,1,1,0,0,1,1,1
82,3000.0,5.1543717,0,0,0,1,1,0,1,1
83,3100.0,19.541342,0,0,1,1,0,0,1,1
84,3000.0,13.442607,0,0,0,1,1,0,1,1
85,5700.0,32.0483,0,1,1,0,0,1,1,1
86,4700.0,18.733253,0,0,1,1,0,0,1,1
87,3200.0,10.434569,0,1,1,0,0,1,1,1
88,3000.0,1.9844115,0,0,0,0,1,0,0,1
89,6700.0,39.11975,1,0,0,0,0,1,0,1
90,3000.0,-0.23641694,0,0,0,1,0,0,1,1
91,4000.0,11.97461,0,1,1,0,0,1,1,1
92,3400.0,14.11885,0,0,0,1,1,0,1,1
93,4600.0,22.652382,0,0,1,1,0,0,1,1
94,3300.0,7.4123487,0,1,1,0,0,1,1,1
95,3100.0,6.045568,0,0,0,1,1,0,1,1
96,3000.0,9.351659,0,0,1,1,0,0,1,1
97,3000.0,4.703019,0,0,1,1,0,0,1,1
98,3100.0,9.391193,1,1,0,0,0,1,0,1
99,3000.0,3.163245,1,1,0,0,0,1,0,1
